Ward Code,Ward name,Borough name,Median-1995,Median-1996,Median-1997,Median-1998,Median-1999,Median-2000,Median-2001,Median-2002,Median-2003,Median-2004,Median-2005,Median-2006,Median-2007,Median-2008,Median-2009,Median-2010,Median-2011,Median-2012,Median-2013,Median-2014,Median-2015,Mean-1995,Mean-1996,Mean-1997,Mean-1998,Mean-1999,Mean-2000,Mean-2001,Mean-2002,Mean-2003,Mean-2004,Mean-2005,Mean-2006,Mean-2007,Mean-2008,Mean-2009,Mean-2010,Mean-2011,Mean-2012,Mean-2013,Mean-2014,Mean-2015,Sales-1995,Sales-1996,Sales-1997,Sales-1998,Sales-1999,Sales-2000,Sales-2001,Sales-2002,Sales-2003,Sales-2004,Sales-2005,Sales-2006,Sales-2007,Sales-2008,Sales-2009,Sales-2010,Sales-2011,Sales-2012,Sales-2013,Sales-2014,Sales-2015
E05009367,Brownswood,Hackney,73750,79000,95000,111850,131000,150000,163000,182000,189995,225000,223000,256000,288975,283750,284750,310000,315000,315750,365000,446515,539167,84865,86861.15517,110997.3602,125238.3606,144843.8797,165220.4591,172381.0055,195906.9607,212144.3609,240868.6493,243529.3008,295357.9884,340394.9275,321854.5676,327719.7414,343253.0642,352739.4362,352035.6078,392535.5342,499274.0608,563902.4312,90,116,261,269,158,159,183,178,133,211,133,172,138,74,58,109,94,102,161,181,109
E05009368,Cazenove,Hackney,80500,88975,78725,79995,103050,130000,150000,165000,181000,185000,211500,210000,239950,250000,230000,250000,291000,292500,293250,375000,418250,89970.17308,95196.51163,90971.07031,106229.8134,118745.6453,149755.5615,180537.6687,197840.5665,215889.5266,229243.3353,248806.0492,249571.7006,275964.9102,301362.1791,266118.5333,307938.6301,345071.2766,370867.2619,331231.0732,434997.125,516434.2255,52,86,128,134,203,130,166,173,188,173,122,157,167,67,75,73,94,84,82,80,102
E05009369,Clissold,Hackney,87250,93500,97000,120000,142000,155000,199950,209975,222000,235000,249000,246500,269995,355000,300000,365000,334700,399997.5,405000,477500,507500,98478.24074,100617.7595,111204.8426,136692.2761,151101.6548,171998.9942,206016.0584,223650.0954,247357.271,254795.686,280364.6218,279321.3117,324256.1221,387106.9478,355663.2524,396572.6135,359518.1589,450434.425,455811.1227,591890.0061,596676.8958,108,158,197,163,197,173,274,262,155,207,193,231,213,115,103,163,151,120,163,164,192
E05009370,Dalston,Hackney,69995,70000,82600,95000,113000,125000,164000,199995,207625,223750,215000,249145,280000,265000,290000,318500,315000,368500,400000,532500,595000,78591.86441,81446,92185.11765,107388.4337,125451.3333,141166.7442,171016.8899,217919.7521,209371.1226,240371.4434,227456.7184,295357.4037,324423.877,312606.7568,305246.0118,338697.7315,336467.3226,394776.5407,429366.7464,578255.7979,775734.4118,59,50,85,83,105,86,109,117,106,106,103,109,122,74,170,149,217,135,209,94,102
E05009371,De Beauvoir,Hackney,136500,135000,122750,150000,173000,161750,240000,190000,227997.5,250000,281500,330000,339950,310000,337000,378500,382500,340000,417500,499475,575000,141354.7937,135152.2874,143210.9825,169771.957,186702.2072,213730.4348,265287.2932,233147.774,298253.2222,312849.9697,313654.574,362122.5695,417944.7688,383519.3934,399942.6709,473139.8365,498306.4886,447118.2452,482880.6339,615315.7449,801816.3983,63,87,114,93,111,92,133,146,90,99,169,223,199,61,79,104,88,155,224,98,118
E05009372,Hackney Central,Hackney,77000,72000,75747.5,90500,102000,121000,155750,175000,183000,212000,214500,247875,250000,250000,248000,271250,315000,325000,387500,450000,365000,84838.82353,80588.8913,84889.86486,103607.875,114712.3529,135720.719,167135.9941,190574.0878,205253.018,213912.1454,230545.3968,267134.597,303943.0058,303555.2817,275827.8689,301691.3936,358881.2963,359429.5935,411371.8218,498370.3162,506039.1586,34,46,74,160,153,121,170,148,111,227,126,134,172,71,61,94,162,123,101,117,290
E05009373,Hackney Downs,Hackney,71000,70000,85000,89475,90000,123000,145000,160000,174000,204500,188000,210000,249995,250000,245000,272500,275000,322500,340000,433000,463500,80460.32759,78504.93671,93927.3125,103572.7222,105944.0536,149929.5517,159361.5969,177038.1487,191292.4535,211942.9769,217320.119,232204.838,295130.1429,287981.4327,285907.7798,316598.3306,311140.3009,352738.76,389074.2117,478443.6471,519948.96,58,79,128,144,168,145,191,195,172,173,126,179,203,104,109,124,113,150,137,153,150
E05009374,Hackney Wick,Hackney,71997.5,82250,79250,90500,91000,113500,130000,140000,170000,185000,184000,218500,245000,235000,208500,247225,270000,321000,285000,340000,382500,84848.9,93080.9,94731.05405,99247.81746,110282.9552,127379.0338,137550.7515,162157.9113,185485.9603,199034.2202,214217.9009,252146.5278,282685.1061,285622.7705,289582.1774,308516.1154,321712.3958,359767.8191,362359.5109,381129.837,543795.2891,50,50,74,126,134,148,165,203,151,168,111,108,132,61,62,78,96,94,92,135,128
E05009375,Haggerston,Hackney,66000,66000,79000,87750,95000,115000,170000,179975,175000,186000,190000,245000,250000,250000,260000,317500,277500,325000,345000,425000,462000,74954.54545,74996.07143,82517.6875,91132.54023,103134.3077,118295.2062,183083.1484,207688.7923,191954.3153,195180.2655,209172.8807,252603.9286,275392.1586,262470.6303,287632.0619,325811.5596,308296.0326,353969.1702,368577.29,424822.9259,480448.6861,11,14,80,87,65,97,182,130,111,113,109,196,227,119,97,109,92,141,100,243,137
E05009376,Homerton,Hackney,62500,60000,73000,82500,99000,105000,132000,140000,174000,182000,163000,185000,215000,210000,195000,237000,216250,249995,250000,398000,400000,69795.15625,69370.5102,85295.76271,104540.8871,107141.8961,122955.7619,142195.8989,153542.1368,190368.1868,189882.3462,179952.2857,201739.0762,246193.1641,227577.5,226552.1064,272000.0615,265729.8939,293499.5205,316831.9516,417814.5294,477593.1064,32,49,59,62,77,84,89,117,91,130,63,105,128,60,47,65,66,73,62,204,141
