Code,Borough,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
E09000002,Barking and Dagenham,19.76065598,21.98995686,23.79055139,26.40105316,29.4928103,31.54398889,31.80273643,30.80935887,29.30231733,30.57662422,29.35015204,24.48068782,22.02332259,19.73656591,21.61027414,26.07239755,27.89796968
E09000003,Barnet,13.53881883,14.4845844,15.15583086,16.36551948,18.07633265,22.18872307,19.51816719,16.66258566,15.64940553,15.28247821,14.04162173,12.60535286,11.61834546,11.20190353,12.34664904,16.21700919,17.49463212
E09000004,Bexley,14.49015442,14.67192765,15.26351157,16.22376473,18.41229729,18.69027734,19.66356552,16.75922608,14.3706177,15.25686956,16.64285151,13.27201564,11.68944985,12.13124971,11.71166984,15.05013237,15.47537156
E09000005,Brent,20.77082941,21.79697673,21.09635784,23.33337039,27.47062309,34.04326681,30.46073101,22.48068744,20.93386945,22.29280752,23.53430521,23.26886166,23.33744335,19.68156105,20.20399415,25.16507566,25.1868987
E09000006,Bromley,10.93244535,12.86752879,12.97355326,15.93700702,16.83414465,19.38064021,18.36544531,18.92923715,16.67410161,18.28060649,17.40496019,15.69872958,14.72851742,13.05582799,13.92580662,18.56958771,19.11117475
E09000007,Camden,28.11534555,27.15446491,27.01822113,28.5186202,31.42655713,36.92467963,34.91434852,31.20853709,27.4158472,28.60091405,27.319607,27.3652346,25.19458214,22.3593318,20.18988416,25.79562777,29.29579384
E09000008,Croydon,17.70732324,18.92945509,18.51918165,22.7837157,23.64855813,25.52100945,22.89619291,19.80032252,18.51588093,19.83636218,20.03894966,18.51929454,18.31339172,17.67754808,17.59078422,23.70492501,24.67290714
E09000009,Ealing,22.00812567,21.12560371,22.26662675,23.09841483,23.20614849,25.82940146,25.18751559,24.23183405,24.23188806,23.58481831,24.39039174,24.27912462,21.036562,20.36862545,18.34776668,23.0622183,24.78969245
E09000010,Enfield,14.81313089,17.44295956,18.31093607,19.92199327,18.24471765,18.39010407,18.45641708,18.58545937,14.53003766,14.24474605,15.3557792,14.38982213,13.17788714,13.67846776,14.86316157,19.37000499,19.55794364
E09000011,Greenwich,29.38237623,29.41642806,28.7731077,31.11849591,30.5613389,34.64060918,33.4629101,31.99282021,30.73540914,28.11285183,25.14856036,21.83640953,20.7724193,20.34083394,20.49559104,25.45053931,27.49387743
E09000012,Hackney,33.42759698,31.07468249,32.33838048,32.28084812,33.61973588,34.12756753,34.50617056,32.46243069,31.41928011,27.97771824,28.06586032,24.60504925,21.84220534,22.60440506,23.5139619,28.86566597,29.56108683
E09000013,Hammersmith and Fulham,29.15323032,26.55222546,25.28723417,25.13532842,24.99562708,26.85913193,29.08962907,28.93373408,28.23677411,27.89008854,26.19423038,27.05676779,23.81539642,23.73644704,22.63200604,28.72200264,30.37591456
E09000014,Haringey,22.30061448,23.66212559,22.99650623,24.26116165,24.3748528,27.93281289,30.19134561,24.23512055,22.69492764,21.72961519,20.43193691,19.35570661,18.35720435,18.15674824,18.3267144,24.88964308,26.81084395
